Conversation.json#dialog
测试物品获得|Test Items Acquired
......（赶紧回PLACE1NAME报告情况才更要紧。）|...(It's more important to report back to PLACE1NAME as soon as possible.)
......（有人遇难，WO不能袖手旁观！）|......(People are dying, WO cannot just stand by and watch!)
军爷饶命！WO就是想给城外的亲戚传个信，没别的意思！WO没说村里的事，真的没说啊！|"Military officer, spare my life! I just wanted to send a message to my relatives outside the city, nothing else! I didn't say anything about the village, I really didn't say anything!
少废话！大人有令，村里任何人不准往外传消息，你就是找死！|Stop talking nonsense! The master has ordered that no one in the village is allowed to spread the news outside. You are courting death!
住手！光天化日之下，为何要对村民动刀？|Stop! Why are you stabbing villagers in broad daylight?
哪来的外乡人？敢来这多管闲事？这是我们村里的事，跟你半毛钱关系没有，赶紧滚！|Where did you come from, outsider? How dare you meddle in other people's business? This is our village's business. It has nothing to do with you. Get out of here!
就算犯了错，也该问清缘由，怎能直接动杀心？你们若有规矩，便该按流程处置，而非私下灭口。|Even if someone made a mistake, you should still ask for the reason. How can you just kill them? If you have any rules, you should handle it according to the procedures, not just kill them privately.
处置？SN1XING大人的话就是规矩！你再敢多嘴，我先杀了他，再收拾你这多事的外乡人！|Disposal? Lord SN1XING's words are the rules! If you dare to say anything more, I'll kill him first, and then deal with you, this nosy outsider!
少跟他废话！这外乡人主动靠近我们，还敢管闲事，定是奸细！动手！|Don't waste your time! This stranger approached us and dared to meddle in our affairs. He must be a spy! Action!
......（返回PLACE1NAME报告吧。）|...(Return to PLACE1NAME and report back.)
先把这个外乡人杀了！|Kill this stranger first!
......（救下这个村民或许能问出这个村子的情况。）|...(Saving this villager might reveal more about the village.)
击败士兵。|Defeat the soldiers.
别过来！再过来我就杀了他！|Don't come over here! If you come over here again, I'll kill him!
救命啊！|Help!
对方士兵开始攻击人质，保护人质！|The enemy soldiers begin to attack the hostages, protect the hostages!
呃......我......|Uh...I...
多谢CH救命之恩！若不是您，我今日定然死在那士兵刀下了！|Thank you so much, CH, for saving my life! If it weren't for you, I would have died under that soldier's knife today!
老乡，不必多谢，他们为什么要杀你？这村子，到底藏着什么事？|"No need to thank me, fellow villager. Why did they kill you? What's going on in this village?"
SN1MING那厮，根本不是什么善人！修佛法修到走火入魔了！|SN1MING, that guy, is not a good person at all! He has gone astray in his Buddhist practice!
说必须帮他每天在村里说好话，树立威信，说他是来救苦救难的。|They said that they must help him speak well of him in the village every day, establish his prestige, and say that he was there to save people from suffering.
若是不从呢？|What if you don’t obey?
不从？哪敢不从啊！不帮他就要被杀全家！前阵子村东头的王老爹，就因为不肯在村民面前夸他，当晚就被他的人抄了家，一家三口全没了……|Disobey? How dare you disobey! If you don't help him, your whole family will be killed! A while ago, Old Man Wang from the east end of the village was raided by his men that night because he refused to praise him in front of the villagers. The whole family of three was wiped out...
然后SN1MING跟其他村民说他们一家子搬出去了......|Then SN1MING told the other villagers that his family had moved out...
村口的士兵、高筑的围栏，也是SN1MING让弄的？|Were the soldiers at the village entrance and the high fences also ordered by SN1MING?
是啊！他说是防外人捣乱，其实是怕有人出去通风报信。只有有点威望，知道实情的人才能出村，出村也会有士兵跟随，防止逃跑.......|Yes! He said it was to prevent outsiders from causing trouble, but in reality, he was afraid someone would leak information. Only those with some prestige and knowledge of the truth could leave the village, and even then, soldiers would follow them to prevent them from escaping...
围栏筑起来、士兵站岗后，村里确实没了以前的小偷小摸，大家反倒觉得治安变好，慢慢就开始拥护他，觉得他是能管事的好人……|After the fence was built and soldiers were stationed, the petty thefts in the village really stopped. Instead, everyone felt that the security had improved, and gradually began to support him, thinking that he was a good man who could take charge...
那他在村里大兴佛教、修佛塔，又是为了什么？|Then why did he promote Buddhism and build pagodas in the village?
还不是为了拉拢人心！他说信佛能保平安，每天让士兵带着村民诵经，还说修好佛塔后村里能风调雨顺，再不受灾。|He claimed that believing in Buddhism could ensure safety, and he had soldiers lead villagers in chanting sutras every day. He also said that after the pagoda was built, the village would enjoy good weather and no more disasters.
村里老人本就信这些，年轻人见老人都跟着做，也慢慢信了；加上他偶尔分点粮食，大家就更觉得他是佛祖派来救我们的，对他的话言听计从……|The elders in the village already believed in these things, and the younger people, seeing them follow suit, gradually began to believe as well. Add to that the fact that he occasionally shared some food with them, and everyone felt even more strongly that he was sent by the Buddha to save them, and they followed his every word...
其实那佛塔就是个幌子，他是想借着佛教把大家绑在村里，一辈子听他的话！谁若有半点差池，他就是对佛祖不敬！|In fact, the pagoda was just a cover. He wanted to use Buddhism to bind everyone in the village and make them obey him for the rest of their lives! If anyone made the slightest mistake, he would be disrespecting the Buddha!
SN1MING暗地里扣押、抢劫朝廷给地方发的赈灾物资用于修佛塔，此事被SN3MING大人得知......|SN1MING secretly seized and robbed the disaster relief supplies sent by the imperial court to the local areas to use for the construction of the pagoda. This was discovered by SN3MING...
SN3MING说他这般是走火入魔，亵渎佛法，要阻拦他，结果就被SN1MING……就被他灭了口……|SN3MING said that he was possessed by evil and blaspheming Buddhism, and tried to stop him, but SN1MING... he silenced him...
这事我也是前些天在村里开会，无意中听到SN1MING的心腹讨论，说孙策那边打过来，建塔的物资快不够了，SN1MING就决定抢劫赈灾物资......|I was at a village meeting a few days ago and overheard SN1MING's confidants discussing this. They were saying that Sun Ce was coming and they were running low on supplies for tower construction, so SN1MING decided to rob the relief supplies...
或许他是真的想要传播佛法，但是他的手段害死了多少无辜之人！|Maybe he really wanted to spread Buddhism, but his methods killed so many innocent people!
我家里就我一个，死了也不怕！想着若是能把消息传出去，或许能救村里其他人。|I’m the only one in my family, so I’m not afraid of death! I thought if I could spread the news, maybe I could save other people in the village.
因为我家无牵无挂，他总觉得我容易跑，我每次出去的时候跟着我的士兵都更多，一步都不准离。|Because I had no ties at home, he always thought I would run away easily. Every time I went out, more soldiers followed me and would not allow me to leave for a moment.
今天本是去PLACE1NAME采买，原想创造个机会偷偷溜走......|I was supposed to go shopping at PLACE1NAME today, but I wanted to create an opportunity to sneak away...
好不容易找到个机会，刚准备逃走就被发现，才有了刚才的事......|I finally found an opportunity, and just as I was about to escape, I was discovered, which is why what happened just now happened...
